"X","TLID","STATEFP","COUNTYFP","TFIDL","TFIDR","MTFCC","FULLNAME","SMID","LFROMADD","LTOADD","RFROMADD","RTOADD","ZIPL","ZIPR","Length","CLASS","RDTYPE","Main","DeadEnd","Cluster","unit_N","unit_N_orig","property_N","parcel_N","BG_ID_10","CT_ID_10"
8176,85704465,25,25,205872090,205872089,"S1400","Metropolitan Ave",2758,"684","740","679","739",2136,2136,278.51,5,5,0,0,1,66,66,32,29,250251403006,25025140300
8177,85704464,25,25,205871592,205872090,"S1400","Cromwell Rd",2758,"98","60","99","67",2136,2136,112.58,5,5,0,0,3,33,2,6,6,250251403006,25025140300
8178,85704517,25,25,205872104,205872103,"S1400","West St",2758,"32","50","31","51",2136,2136,88.71,5,5,0,0,4,11,11,10,6,250251403005,25025140300
8179,85704486,25,25,205872107,205872110,"S1400","Webster St",2758,"14","24","13","23",2136,2136,44.5,5,5,0,0,4,5,5,5,3,250251403001,25025140300
8180,85704494,25,25,205872104,205872112,"S1400","Walter St",2758,"2","18","1","15",2136,2136,78.33,5,5,0,0,2,8,8,4,4,250251403001,25025140300
8181,85729399,25,25,205872101,262445218,"S1400","Riverside Sq",2758,"2","30","1","63",2136,2136,175.75,5,5,0,0,2,32,32,13,12,250251403005,25025140300
8182,85704564,25,25,205865729,262462748,"S1400","Hyde Park Ave",2758,"1470","1484","1479","1489",2136,2136,75.72,4,4,1,0,2,13,13,9,7,250251402011,25025140201
8183,639989502,25,25,262479475,262479475,"S1400","Sprague Pl",2758,"99","1","98","2",2136,2136,78.2,5,5,0,0,0,0,0,0,0,250251401023,25025140102
8184,85729235,25,25,262452743,262479475,"S1400","Sprague St",2758," "," "," "," ",0,0,23.8,4,4,1,0,3,2,2,3,3,250251401023,25025140102
8185,85704710,25,25,205872156,205872162,"S1400","Stanbro St",2758,"2","6","1","9",2136,2136,72.03,5,5,0,0,4,2,2,2,2,250251402012,25025140201
